Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Missing ARIA attributes (aria-label, aria-required) on some UI elements affecting accessibility",DBPS-72,10356,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Low,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:30,17-03-2026 09:30,,,,0,CrossBrowser,"During accessibility testing, several ARIA attributes were verified across different browsers.

Bootstrap modal components correctly implement role='dialog' and aria-labelledby attributes. The navbar toggle button also uses aria-expanded correctly.

However, some elements lack required ARIA attributes. Carousel navigation controls do not contain aria-label attributes, and form fields do not include aria-required attributes.

Although ARIA attributes function correctly where implemented, these missing attributes reduce accessibility support for users relying on assistive technologies.



# Open the website in any browser
# Inspect carousel controls and form fields
# Check ARIA attributes using browser developer tools
# Observe missing aria-label and aria-required attributes","Browsers: Chrome, Firefox, Safari, Edge
Application: Demoblaze Website
Module: Accessibility / UI",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@321a819,,,,,,,,,,dark_blue,,0|i000gn:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:30
Missing aria-label attributes for some UI elements affecting screen reader accessibility,DBPS-71,10354,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Low,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:26,17-03-2026 09:26,,,,0,CrossBrowser,"During accessibility testing with screen readers across multiple browsers, some page elements are correctly announced, including navigation links, buttons, and modal dialogs.

However, certain UI components such as carousel controls and category links do not have aria-label attributes. Because of this, screen readers cannot clearly announce the purpose of these elements.

This results in partial accessibility support for users relying on screen readers.



# Open the website in Firefox with NVDA enabled
# Navigate through the homepage using keyboard navigation
# Move focus to carousel controls and category links
# Observe screen reader announcements","Browsers: Firefox, Chrome, Safari
Screen Readers: NVDA, JAWS, VoiceOver
Application: Demoblaze Website
Module: Accessibility / UI",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ff27b09,,,,,,,,,,dark_blue,,0|i000gf:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:26
Console warning across browsers due to deprecated jQuery .size() method in Bootstrap 3,DBPS-70,10352,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:25,17-03-2026 09:25,,,,0,CrossBrowser,"While testing the application across multiple browsers, a consistent console warning is observed.

The warning indicates that the jQuery .size() method is deprecated. This method is being called by Bootstrap 3 JavaScript code.

Although the application functions correctly and no critical JavaScript runtime errors occur, deprecated methods may cause compatibility issues in future browser or library updates.



# Open the website in any browser
# Open Developer Tools
# Navigate to the Console tab
# Refresh or interact with the application
# Observe the console warnings","Browsers: Chrome, Firefox, Edge, Safari
Application: Demoblaze Website
Module: Global / JavaScript",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3121667e,,,,,,,,,,dark_blue,,0|i000g7:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:25
Cart table overflows screen and requires horizontal scrolling on Android Chrome,DBPS-69,10350,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:23,17-03-2026 09:23,,,,0,CrossBrowser,"The cart page loads correctly on Android Chrome and displays items in a table.
The delete button and ""Place Order"" button are accessible and functional.

However, the cart table layout is not responsive for narrow mobile screens.
The table exceeds the screen width and requires horizontal scrolling to view all columns.

This is the same UI overflow issue observed on iOS devices.



# Open the website in Android Chrome
# Add any product to the cart
# Navigate to the Cart page
# Observe the cart table layout","Device: Android Phone
OS: Android
Browser: Chrome
Application: Demoblaze Website
Module: Cart",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9c32a3f,,,,,,,,,,dark_blue,,0|i000fz:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:23
Incorrect keyboard type triggered for form fields on Android Chrome,DBPS-68,10348,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:21,17-03-2026 09:21,,,,0,CrossBrowser,"Forms on Android Chrome are accessible and all fields are tappable.
The keyboard appears correctly and the page scrolls automatically to keep the active field visible.

However, the correct keyboard type is not triggered based on the input field type.
Email fields and numeric fields display the standard keyboard instead of email or numeric keyboards.

The ""Go"" button successfully submits login and signup forms.

This appears to be an application-level issue affecting keyboard input configuration.



# Open the website in Android Chrome
# Navigate to Login / Signup / Contact / Place Order forms
# Tap on email or numeric input fields
# Observe the keyboard layout","Device: Android Phone
OS: Android
Browser: Chrome
Application: Demoblaze Website
Module: Forms (Login, Signup, Contact, Place Order)
Keyboard: GBoard",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@cb364d1,,,,,,,,,,dark_purple,,0|i000fr:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:21
Hero slider swipe gesture not working on Android Chrome,DBPS-67,10346,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:19,17-03-2026 09:19,,,,0,CrossBrowser,"The hero slider loads correctly on Android Chrome.
Autoplay functionality works and arrow buttons allow navigation between slides.

However, swipe gestures do not move the slider. When the user attempts to swipe left or right, the slide does not change.

This appears to be due to the Bootstrap 3 carousel limitation, which does not provide native swipe support on mobile devices.



# Open the website in Android Chrome
# Navigate to the homepage
# Locate the hero slider
# Swipe left or right on the slider","Device: Android Phone
OS: Android
Browser: Chrome
Application: Demoblaze Website
Module: Hero Slider",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@57948442,,,,,,,,,,dark_blue,,0|i000fj:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:19
Cart table requires horizontal scrolling on iOS Safari (not mobile responsive),DBPS-66,10344,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:16,17-03-2026 09:31,,,,0,CrossBrowser,"The cart page loads successfully on iOS Safari and displays the items in a table format.
The delete button and ""Place Order"" button are accessible and functional.

However, the cart table is not optimized for narrow mobile screens.
The table overflows the screen width and requires horizontal scrolling to view all columns.

This affects usability on mobile devices.



# Open the website in iPhone Safari
# Add a product to the cart
# Navigate to the Cart page
# Observe the cart table layout","Device: iPhone
OS: iOS
Browser: Safari
Application: Demoblaze Website
Module: Cart",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c3b8fb,,,,,,,,,,orange,,0|i000fb:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:16
Incorrect virtual keyboard type triggered for form fields on iOS Safari,DBPS-65,10342,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:13,17-03-2026 09:13,,,,0,CrossBrowser,"Forms on the website (Login, Signup, Contact, and Place Order) are accessible and all fields are tappable on iOS Safari. The virtual keyboard appears correctly and the page scrolls to keep the input field visible.

However, the correct keyboard type is not triggered based on the input field type. For example, email fields do not show the email keyboard and numeric fields do not trigger the numeric keypad. Instead, the standard QWERTY keyboard appears for all input fields.

This appears to be an application-level issue rather than an iOS-specific issue.



# Open the website in iPhone Safari
# Navigate to Login / Signup / Contact / Place Order form
# Tap on email or numeric input fields
# Observe the keyboard layout","Device: iPhone
OS: iOS
Browser: Safari
Application: Demoblaze Website",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d976e16,,,,,,,,,,purple,,0|i000f3:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:13
Hero slider swipe gesture not working on iOS Safari,DBPS-64,10340,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,17-03-2026 09:10,17-03-2026 09:10,,,,0,CrossBrowser,"The hero slider on the homepage does not respond to swipe gestures on iOS Safari.

The slider loads correctly and auto-plays, and the arrow buttons work when tapped. However, when the user attempts to swipe left or right on the slider using touch gestures, the slides do not change.

This issue affects usability for mobile users.



# Open the website in iPhone Safari
# Navigate to the homepage
# Locate the hero slider
# Try swiping left or right on the slider","Device: iPhone 13
OS: iOS 17
Browser: Safari
Application URL: [https://www.demoblaze.com|https://www.demoblaze.com|smart-link] 
Build Version: v1.0",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2fd6c790,,,,,,,,,,dark_grey,,0|i000ev:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,17-03-2026 09:10
All Form Validation error in Edge Browser,DBPS-63,10306,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 23:46,16-03-2026 23:46,,,,0,CrossBrowser,"|Form validation on Edge: same application-level gaps as all other browsers — only Name validated on Place Order; not a browser-specific issue|

|# Test validation|",Edge,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56405914,,,,,,,,,,blue,,0|i000en:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,16-03-2026 23:46
